 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    1 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    1 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    1 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;    1 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;    1 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;    1 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;    2 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;    2 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
    3 ;    2 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;       0.00 ;     344.20 ;
    3 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;       0.00 ;     137.00 ;
    3 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;       0.00 ;     137.00 ;
    3 ;    3 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;       0.00 ;     137.00 ;
    3 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;       0.00 ;     201.31 ;
    3 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;       0.00 ;     201.31 ;
    3 ;    3 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;       0.00 ;     201.31 ;
    3 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;       0.00 ;     344.20 ;
    3 ;    3 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;       0.00 ;     344.20 ;
